"Feature.ID","Feature.Name","Feature.Class","wt_rep_1","wt_rep_2","piwi_rep_1","piwi_rep_2"
"Gene:WBGene00004795","C04F5.1, sid-1","WAGO",6057.43,6116.92,157.33,210.09
"Gene:WBGene00004796","ZK520.2, sid-2","unk",16.44,20.44,1.32,1.61
"Gene:WBGene00004798","F43D9.4, sip-1","ALG",520,492,333,394.5
"Gene:WBGene00004800","R11A8.4, sir-2.1","CSR",803,742.5,504,689.5
"Gene:WBGene00004801","F46G10.7, sir-2.2","unk",5,14.11,21.5,20.33
"Gene:WBGene00004802","F46G10.3, sir-2.3","unk",6,9,0,4
"Gene:WBGene00004803","C06A5.11, sir-2.4","unk",136.01,165,27,40
"Gene:WBGene00004804","T19E7.2, skn-1","CSR",1142,1199.5,1133.63,1452.46
"Gene:WBGene00004806","T27F2.1, skp-1","CSR",888,918.5,751.5,963.5
"Gene:WBGene00004807","F46A9.5, skr-1","unk",144.5,118.5,57.5,87
"Gene:WBGene00004808","F46A9.4, skr-2","ALG",13.42,22.67,28.33,23.33
"Gene:WBGene00004809","F44G3.6, skr-3","unk",75.87,94.81,25.12,15.98
"Gene:WBGene00004810","Y60A3A.18, skr-4","unk",15,23,4.5,8.5
"Gene:WBGene00004811","F47H4.10, skr-5","unk",38.26,55.61,6.5,9.38
"Gene:WBGene00004812","Y37H2C.2, skr-6","unk",0,0,0,0
"Gene:WBGene00004813","Y47D7A.1, skr-7","unk",84.62,81.33,12.17,14.4
"Gene:WBGene00004814","C52D10.9, skr-8","unk",45.28,45.58,3.67,1.57
"Gene:WBGene00004815","C52D10.7, skr-9","unk",33.53,38.78,2.33,1.57
"Gene:WBGene00004816","Y105C5B.13, skr-10","WAGO",474.75,529.25,6.5,3
"Gene:WBGene00004817","F13A7.9, skr-11","unk",143,144,19,44.9
"Gene:WBGene00004818","C52D10.6, skr-12","unk",11,6.08,3.58,3.5
"Gene:WBGene00004819","C52D10.8, skr-13","unk",5,9.42,1.75,2
"Gene:WBGene00004820","Y47D7A.8, skr-14","CSR",9.75,9.25,5,3
"Gene:WBGene00004821","F54D10.1, skr-15","unk",48,40,6.25,16
"Gene:WBGene00004822","C42D4.6, skr-16","unk",30,18,9,37.75
"Gene:WBGene00004823","C06A8.4, skr-17","CSR",182,184,105,132
"Gene:WBGene00004824","F56B3.4","CSR",398.98,392.99,319.61,392.26
"Gene:WBGene00004825","R12H7.3, skr-19","unk",64,25,6,4
"Gene:WBGene00004826","R12H7.5, skr-20","unk",119,112.5,10,8
"Gene:WBGene00004827","K08H2.1, skr-21","WAGO",5408,5747,31,35
"Gene:WBGene00004829","M02A10.3, sli-1","CSR",24,23,17,24
"Gene:WBGene00004830","Y51A2D.19, slo-1","unk",8.4,6.93,5.25,5.1
"Gene:WBGene00004831","F08B12.3, slo-2","unk",12.8,13.83,22.12,26.16
"Gene:WBGene00004833","ZK1248.18, sls-2.1","unk",279.73,311.64,220.11,278.37
"Gene:WBGene00004834","C17C3.16, sls-2.2","unk",130.11,157.82,97.96,144.24
"Gene:WBGene00004835","C17C3.17, sls-2.3","unk",125.61,135.87,101.71,130.74
"Gene:WBGene00004836","R12E2.16, sls-2.4","unk",502.78,509.44,249.8,373.45
"Gene:WBGene00004837","B0280.14, sls-2.5","unk",46.21,54.81,35.96,36.09
"Gene:WBGene00004838","W06D4.7, sls-2.6","unk",9.19,14.78,10.38,13.54
"Gene:WBGene00004839","W06D4.8, sls-2.7","unk",193.22,238.07,139.1,188.91
"Gene:WBGene00004840","Y75B8A.38, sls-2.8","unk",184.75,183,175.5,243.75
"Gene:WBGene00004841","M01E5.7, sls-2.9","unk",249,302.93,266.09,388.56
"Gene:WBGene00004842","F23B2.14, sls-2.10","unk",344.31,343.95,198.33,242
"Gene:WBGene00004843","F23B2.15, sls-2.11","unk",178.65,179.48,98.17,125.25
"Gene:WBGene00004844","F36H12.19, sls-2.12","unk",134.72,159.37,79.1,80.16
"Gene:WBGene00004845","R13H9.7, sls-2.13","unk",72.75,75.83,51.52,56.76
"Gene:WBGene00004846","W09D6.7, sls-2.14","unk",30.25,59.22,50.25,55
"Gene:WBGene00004847","W09D6.8, sls-2.15","unk",60,82.72,63.25,86.88
"Gene:WBGene00004848","B0280.15, sls-2.16","unk",30.3,25.25,27.25,48.5
"Gene:WBGene00004849","ZK354.12, sls-2.17","unk",512.28,494.27,70.01,109.57
"Gene:WBGene00004850","B0280.16, sls-2.18","unk",38.17,49.83,38.33,55.17
"Gene:WBGene00004851","F36H12.20, sls-2.19","unk",80.23,62.28,50.42,90.86
"Gene:WBGene00004854","F40E10.4, slt-1","unk",43.41,75.79,46.16,59.13
"Gene:WBGene00004855","R31.1, sma-1","ERGO",745.33,785,620,805
"Gene:WBGene00004856","ZK370.2, sma-2","unk",595.57,659.04,859.17,1142.94
"Gene:WBGene00004857","R13F6.9, sma-3","WAGO",244.15,267.09,6.08,6
"Gene:WBGene00004858","R12B2.1, sma-4","unk",71,103,10,29.5
"Gene:WBGene00004859","W06B3.2, sma-5","unk",21.5,33.05,29.5,38.05
"Gene:WBGene00004860","C32D5.2, sma-6","unk",11.01,8.33,7,6
"Gene:WBGene00004862","T05A10.1, sma-9","CSR",572.5,569,251,326
"Gene:WBGene00004873","Y47D3A.26, smc-3","CSR",765.97,877.57,557.22,745.72
"Gene:WBGene00004874","F35G12.8, smc-4","CSR",3043,2967,1172,1399
"Gene:WBGene00004875","F47G4.7, smd-1","unk",19.75,14.86,24.31,28.05
"Gene:WBGene00004876","K11G12.4, smf-1","unk",10.67,8,2.5,1
"Gene:WBGene00004877","K11G12.3, smf-2","unk",1.04,0,0.5,1
"Gene:WBGene00004878","Y69A2AR.4, smf-3","unk",35.7,31.05,19.83,21.21
"Gene:WBGene00004879","C48B6.6, smg-1","WAGO",559,554,98,115
"Gene:WBGene00004880","Y48G8AL.6, smg-2","CSR",1817.29,1722.68,798.86,948.84
"Gene:WBGene00004881","Y73B6BL.18, smg-3","CSR",531.53,554.12,397.54,444.53
"Gene:WBGene00004882","F46B6.3, smg-4","CSR",325,334,261,355
"Gene:WBGene00004883","W02D3.8, smg-5","unk",905,996.5,375.5,491.5
"Gene:WBGene00004884","Y54F10AL.2, smg-6","CSR",677.57,679.48,417.55,585.01
"Gene:WBGene00004885","Y73B6A.4, smg-7","unk",270.09,331,202,230.06
"Gene:WBGene00004886","Y39A3CR.1, smi-1","CSR",482.2,524.27,315.75,335.92
"Gene:WBGene00004887","C41G7.1, smn-1","unk",280.28,259.2,73.5,112.29
"Gene:WBGene00004888","K12C11.2, smo-1","ALG",1,0,9,14
"Gene:WBGene00004889","Y54E5B.1, smp-1","WAGO",887.5,848.08,96.5,104
"Gene:WBGene00004890","D1037.2, smp-2","unk",15.65,27.75,21.47,13.31
"Gene:WBGene00004891","Y71D11A.2, smr-1","CSR",260,299,282,324.03
"Gene:WBGene00004892","H21P03.3, sms-1","unk",1193.42,1140.44,1332.03,1926.86
"Gene:WBGene00004893","F53H8.4, sms-2","WAGO",779,720,20,24
"Gene:WBGene00004894","Y22D7AL.8, sms-3","CSR",49.12,43.33,22.72,23.66
"Gene:WBGene00004895","CC4.3, smu-1","CSR",352.59,312.94,268.94,327.52
"Gene:WBGene00004896","Y49F6B.4, smu-2","unk",787.54,766.49,497.59,584.27
"Gene:WBGene00004897","T10H9.4, snb-1","CSR",307,287,180,254
"Gene:WBGene00004898","F23H12.1, snb-2","unk",4.6,5.5,0,2.74
"Gene:WBGene00004899","C30A5.5, snb-5","unk",351.46,371.53,330.25,431.47
"Gene:WBGene00004900","W03G9.1, snf-1","CSR",136,139,80,106
"Gene:WBGene00004901","F55H12.1, snf-2","ALG",1,0,7,15
"Gene:WBGene00004902","T13B5.1, snf-3","unk",20.06,24.16,4.13,3.79
"Gene:WBGene00004903","Y46G5A.25, snf-4","unk",1,5,3,2
"Gene:WBGene00004904","Y46G5A.30, snf-5","ALG",0.01,2,1.01,1.52
"Gene:WBGene00004905","M01G5.5, snf-6","WAGO",1040.65,1060.55,44.21,65.62
"Gene:WBGene00004906","ZK1010.9, snf-7","ALG",1,0.02,9,16.5
"Gene:WBGene00004907","ZK829.10, snf-8","unk",0.05,0,0,2
"Gene:WBGene00004908","C49C3.1, snf-9","ALG",1,0,28.5,37
"Gene:WBGene00004909","Y32F6A.2, snf-10","ALG",0,0,3,6
"Gene:WBGene00004910","T03F7.1, snf-11","unk",4,1,0.33,1
"Gene:WBGene00004911","T25B6.7, snf-12","unk",0,1,0,5
"Gene:WBGene00004912","T08A9.3, sng-1","unk",8,19,1.1,0
"Gene:WBGene00004913","Y38C1BA.2, snn-1","unk",33.33,36.03,45.18,56.36
"Gene:WBGene00004914","Y116A8C.42, snr-1","CSR",572,574,512,564
"Gene:WBGene00004915","W08E3.1, snr-2","CSR",215,244,285,360
"Gene:WBGene00004916","T28D9.10, snr-3","CSR",426,341,552.5,737
"Gene:WBGene00004917","C52E4.3, snr-4","unk",313.9,347.04,342.87,446
"Gene:WBGene00004918","ZK652.1, snr-5","unk",550,572,336,373
"Gene:WBGene00004919","Y49E10.15, snr-6","CSR",249,241,426,511
"Gene:WBGene00004920","Y71F9B.4, snr-7","unk",155,134.47,204.67,270.83
"Gene:WBGene00004921","F31E8.2, snt-1","unk",1.12,1.73,0.25,5.5
"Gene:WBGene00004922","F42G9.7, snt-2","unk",217.39,250.76,616.16,850.46
"Gene:WBGene00004923","Y75B7AL.3, snt-3","unk",97.24,141.39,28.56,32.52
"Gene:WBGene00004924","T23H2.2, snt-4","unk",34.14,21.83,17.23,30.07
"Gene:WBGene00004925","R12A1.2, snt-5","unk",69.84,68.6,68.28,99.09
"Gene:WBGene00004926","C08G5.4, snt-6","unk",7.84,8.71,2.41,2.95
"Gene:WBGene00004927","C05D9.1, snx-1","unk",153.33,170.09,87.01,89
"Gene:WBGene00004928","F41F3.2, soc-1","unk",337.79,374.29,21.97,21.68
"Gene:WBGene00004929","AC7.2, soc-2","CSR",44,45,29,29
"Gene:WBGene00004930","C15F1.7, sod-1","ALG",3,0,12,10
"Gene:WBGene00004931","F10D11.1, sod-2","ALG",138,163.5,13,26
"Gene:WBGene00004932","C08A9.1, sod-3","unk",1.51,4,1,1.18
"Gene:WBGene00004933","F55H2.1, sod-4","WAGO",3010.57,3016.69,21.06,18.11
"Gene:WBGene00004944","C15A11.3, sol-1","unk",5.2,3.35,7.19,21.19
"Gene:WBGene00004945","C50E10.4, sop-2","CSR",133.25,109.31,78.44,98.41
"Gene:WBGene00004946","Y71F9B.10, sop-3","CSR",945.46,919.99,573.9,772.26
"Gene:WBGene00004947","T28F12.3, sos-1","CSR",898.22,873.83,607.71,825.59
"Gene:WBGene00004949","K08A8.2, sox-2","unk",5.5,5.14,7,8.89
"Gene:WBGene00004950","F40E10.2, sox-3","unk",0,0.6,2,2
"Gene:WBGene00004951","K10B3.10, spc-1","WAGO",312,342,139,226
"Gene:WBGene00004952","Y34D9A.4, spd-1","CSR",3660.81,3806.93,3672.47,4818.6
"Gene:WBGene00004953","F32H2.3, spd-2","ALG",1513,1532,1009,1243
"Gene:WBGene00004954","H34C03.1, spd-3","WAGO",258.15,285.81,29.07,42.07
"Gene:WBGene00004955","F56A3.4, spd-5","CSR",3356.85,3710.83,3015.26,3963.38
"Gene:WBGene00004958","ZK524.1, spe-4","ALG",0,1,9,8
"Gene:WBGene00004959","Y110A7A.12, spe-5","ALG",1,0,2,1.5
"Gene:WBGene00004960","Y66D12A.20, spe-6","ALG",4,0.02,8,10.01
"Gene:WBGene00004962","F53G12.6, spe-8","unk",2.48,2.64,16.12,23.84
"Gene:WBGene00004963","C17D12.6, spe-9","unk",65.68,87.29,93.72,108.43
"Gene:WBGene00004964","AC3.10, spe-10","ALG",0,1,26,28
"Gene:WBGene00004965","F48C1.7, spe-11","ALG",0,0,3,5
"Gene:WBGene00004966","T02E1.1, spe-12","unk",10.5,7.01,7.5,7
"Gene:WBGene00004969","F47G6.4, spe-15","WAGO",393.21,395.54,87.04,108.82
"Gene:WBGene00004971","ZK617.3, spe-17","ALG",0,0,2,3
"Gene:WBGene00004972","R10H10.2, spe-26","ALG",0,0,1.5,3
"Gene:WBGene00004973","C06E7.6, spe-27","ALG",0,0,1,1
"Gene:WBGene00004974","F25H8.7, spe-29","unk",9,6.5,6.45,8
"Gene:WBGene00004975","ZC404.3, spe-39","ALG",499,589,521,550
"Gene:WBGene00004976","K01A11.4, spe-41","ALG",588.63,697.06,3112.09,4232.89
"Gene:WBGene00004978","Y47G6A.10, spg-7","CSR",693.79,699.28,957.45,1231.47
"Gene:WBGene00004979","F42G8.11, sph-1","unk",41.27,27.98,9.68,10.36
"Gene:WBGene00004980","B0464.5, spk-1","CSR",1558,1711,1201,1490
"Gene:WBGene00004981","Y66H1B.4, spl-1","CSR",218.15,272.16,222.01,252.07
"Gene:WBGene00004984","ZC404.8, spn-4","CSR",792,802,345,414
"Gene:WBGene00004985","T05E11.4, spo-11","CSR",106,129,54,85
"Gene:WBGene00004986","T07C4.4, spp-1","unk",11,21.5,25,17
"Gene:WBGene00004987","T08A9.12, spp-2","unk",11,16,1,4.5
"Gene:WBGene00004988","T08A9.7, spp-3","unk",2,2,3.12,1
"Gene:WBGene00004989","T08A9.8, spp-4","unk",50,57,4,2
"Gene:WBGene00004990","T08A9.9, spp-5","unk",1,3,7,3
"Gene:WBGene00004991","T08A9.10, spp-6","unk",3,8,1,5
"Gene:WBGene00004992","ZK616.9, spp-7","unk",2.83,0.67,0.96,0.76
"Gene:WBGene00004993","C28C12.5, spp-8","unk",4,7,7,13
"Gene:WBGene00004994","T25C12.2, spp-9","unk",0,0,0,0
"Gene:WBGene00004995","C28C12.7, spp-10","unk",17.5,26,6,11
"Gene:WBGene00004996","T25D10.3, spp-11","unk",2,0,0.2,1
"Gene:WBGene00004997","T22G5.7, spp-12","unk",1,0,0,1
"Gene:WBGene00004998","F08F1.6, spp-13","unk",22.02,35.32,56.68,73.11
"Gene:WBGene00004999","K09F5.3, spp-14","unk",5,4,8,4
"Gene:WBGene00005000","C48E7.10, spp-15","unk",0,1,2,1.5
"Gene:WBGene00005001","F32D8.9, spp-16","unk",3,3.5,0.18,6
"Gene:WBGene00005002","C54G6.5, spp-17","unk",10.14,12.38,4.13,11.37
"Gene:WBGene00005003","F27C8.4, spp-18","unk",2,0,0,0
"Gene:WBGene00005004","K04A8.9, spp-19","unk",0,0,0,0
"Gene:WBGene00005005","K04A8.8, spp-20","unk",0,0,0,0
"Gene:WBGene00005006","D1014.8, spr-1","CSR",824,853,668,985.5
"Gene:WBGene00005007","C27B7.1, spr-2","CSR",376,347,274,401
"Gene:WBGene00005008","C07A12.5, spr-3","unk",117.5,123.05,70,68
"Gene:WBGene00005009","C09H6.1, spr-4","CSR",1336.27,1569.13,604.03,739.05
"Gene:WBGene00005010","Y40B1B.6, spr-5","CSR",1008.59,1020.02,697.59,906.62
"Gene:WBGene00005011","F26F4.8","ALG",3,0,4,10
"Gene:WBGene00005012","F26F4.2","ALG",1.5,0,3,9.5
"Gene:WBGene00005013","F43G6.6, jmjd-1.1","unk",11.33,6.33,9.17,18.5
"Gene:WBGene00005014","F54C4.2, spt-4","CSR",157,135,99,144
"Gene:WBGene00005015","K08E4.1, spt-5","CSR",1271.5,1369,916,1188
"Gene:WBGene00005016","B0491.2, sqt-1","unk",1,3.58,0.95,1.22
"Gene:WBGene00005017","C01B12.1, sqt-2","unk",8.12,8.51,16.34,26.32
"Gene:WBGene00005018","F23H12.4, sqt-3","unk",41.33,33.66,23.07,30.68
"Gene:WBGene00005019","D2096.4, sqv-1","ALG",444,464,177,259
"Gene:WBGene00005020","Y110A2AL.14, sqv-2","CSR",237.32,248.86,151.45,215.52
"Gene:WBGene00005021","R10E11.4, sqv-3","CSR",113,92,106,146
"Gene:WBGene00005022","F29F11.1, sqv-4","CSR",520,465,332,417
"Gene:WBGene00005023","T24D1.1, sqv-5","CSR",389,336.53,237.56,321.56
"Gene:WBGene00005024","Y50D4C.4, sqv-6","CSR",216.71,255.18,157.6,213.31
"Gene:WBGene00005025","C52E12.3, sqv-7","CSR",100,97,59,87
"Gene:WBGene00005026","ZK1307.5, sqv-8","unk",493.83,466.5,282,344.58
"Gene:WBGene00005027","AH6.4, sra-1","unk",0,0,0,0
"Gene:WBGene00005028","AH6.6, sra-2","unk",1,0,0,0
"Gene:WBGene00005029","AH6.7, sra-3","unk",0,0,0,0
"Gene:WBGene00005030","AH6.8, sra-4","unk",0.33,2.5,1.5,1.5
"Gene:WBGene00005031","AH6.9, sra-5","unk",0.33,0,0,2
"Gene:WBGene00005032","AH6.10, sra-6","unk",0,0,0.5,1
"Gene:WBGene00005033","AH6.11, sra-7","unk",0,0.33,0,0
"Gene:WBGene00005034","AH6.12, sra-8","unk",0,3,0,0
"Gene:WBGene00005035","AH6.14, sra-9","unk",0,0.25,0,0
"Gene:WBGene00005036","F44F4.5, sra-10","unk",2,3,0.21,0.5
"Gene:WBGene00005037","F44F4.13, sra-11","unk",5,2.17,0,0.33
"Gene:WBGene00005038","F44F4.7, sra-12","unk",0,0,0,1
"Gene:WBGene00005039","F49E12.5, sra-13","unk",0,0,0,0
"Gene:WBGene00005040","F35C5.2, sra-14","unk",12.73,19.37,14.1,19.15
"Gene:WBGene00005041","AH6.16, sra-15","unk",2.5,1,0,0
"Gene:WBGene00005042","AH6.13, sra-16","unk",3,16.5,0,0
"Gene:WBGene00005043","F28C12.1, sra-17","unk",3,0,0,0
"Gene:WBGene00005044","F28C12.2, sra-18","unk",0,1,0.25,0
"Gene:WBGene00005045","F28C12.3, sra-19","unk",0,0,0.5,0
"Gene:WBGene00005046","F28C12.4, sra-20","unk",4,0,0.33,0.25
"Gene:WBGene00005047","F28C12.5, sra-21","unk",1.01,0.63,2,0
"Gene:WBGene00005048","F28C12.7, sra-22","unk",6.1,0.16,0.1,0
"Gene:WBGene00005049","T06G6.1, sra-23","unk",0,0,0.25,0
"Gene:WBGene00005050","T06G6.2, sra-24","unk",3,0,0.52,1
"Gene:WBGene00005051","T26E3.9, sra-25","unk",1,1,0,0.5
"Gene:WBGene00005052","T19D12.8, sra-26","unk",0,0,0,0
"Gene:WBGene00005053","F18C5.1, sra-27","unk",3.33,1,0,0
"Gene:WBGene00005054","F18C5.6, sra-28","WAGO",678.5,697.36,582.45,770.47
"Gene:WBGene00005055","F18C5.8, sra-29","unk",1,0,0,0
"Gene:WBGene00005056","Y40H7A.6, sra-30","WAGO",105.46,96.99,183.53,220.57
"Gene:WBGene00005057","C56C10.5, sra-31","unk",0,0,0.01,0
"Gene:WBGene00005058","B0304.5, sra-32","unk",2.09,2.5,1.08,0.5
"Gene:WBGene00005059","B0304.6, sra-33","unk",0.75,7.27,5.22,5.12
"Gene:WBGene00005060","B0304.7, sra-34","unk",0,0,0,0
"Gene:WBGene00005061","B0304.8, sra-35","WAGO",2893.09,3262.76,18.02,21.11
"Gene:WBGene00005062","B0304.9, sra-36","unk",0,0,0.38,1
"Gene:WBGene00005063","T21H8.2, sra-37","unk",1,0.11,0,2
"Gene:WBGene00005064","T21H8.3, sra-38","unk",0,1,0,0
"Gene:WBGene00005065","T21H8.4, sra-39","unk",11.11,8.95,5.66,9.65
"Gene:WBGene00005066","C27D6.10, srb-1","unk",1,0.33,0,0
"Gene:WBGene00005067","C27D6.9, srb-2","unk",17,11,21,21
"Gene:WBGene00005068","C27D6.8, srb-3","unk",0.5,0.67,1.67,2.17
"Gene:WBGene00005069","C27D6.7, srb-4","unk",2,6.5,5.5,1.5
"Gene:WBGene00005070","C27D6.6, srb-5","unk",0,0,0,0
"Gene:WBGene00005071","R05H5.6, srb-6","unk",0.5,2.63,1.5,2.55
"Gene:WBGene00005072","F37C12.17, srb-7","unk",12.2,13.25,11.33,8.5
"Gene:WBGene00005073","F37C12.15, srb-8","unk",1,0.5,0,0.5
"Gene:WBGene00005074","F37C12.16, srb-9","unk",1,0.5,0,0.5
"Gene:WBGene00005075","F23F12.11, srb-10","unk",2,1,0,0.83
"Gene:WBGene00005076","F23F12.10, srb-11","unk",3,0,0,3
"Gene:WBGene00005077","Y92H12A.1, src-1","unk",1229.63,1303.73,453.59,550.87
"Gene:WBGene00005078","F49B2.5, src-2","WAGO",187.01,202.84,11.11,12.98
"Gene:WBGene00005079","F33H1.5, srd-1","unk",11.65,12.23,3.5,4
"Gene:WBGene00005080","R05H5.1, srd-2","unk",0,4,0.17,0
"Gene:WBGene00005081","K10B4.5, srd-3","unk",55.63,55.44,4.49,3.09
"Gene:WBGene00005082","ZK863.5, srd-4","unk",2,1,0,1.42
"Gene:WBGene00005083","T19E7.5, srd-5","unk",0,5,0,0.33
"Gene:WBGene00005084","B0547.5, srd-6","unk",1,3.02,0.5,1.5
"Gene:WBGene00005085","C06G8.4, srd-7","unk",0,0,0,0
"Gene:WBGene00005086","B0547.4, srd-8","unk",0,5,1.33,0
"Gene:WBGene00005087","T09D3.1, srd-9","unk",0,0,2,0
"Gene:WBGene00005088","Y45F10B.14, srd-10","unk",1,1,0,0
"Gene:WBGene00005089","F53F4.9, srd-11","unk",5,5,0,2
"Gene:WBGene00005090","C39H7.6, srd-12","unk",0,0,1,0.5
"Gene:WBGene00005091","C39H7.7, srd-13","unk",0,1,5,0
"Gene:WBGene00005092","B0547.3, srd-14","unk",2,0,0,1
"Gene:WBGene00005093","C04E6.10, srd-15","unk",0,0,0,0
"Gene:WBGene00005094","C04E6.9, srd-16","unk",0,0.25,0,0
"Gene:WBGene00005095","Y2H9A.2, srd-17","unk",4.86,6.47,2.07,1.4
"Gene:WBGene00005096","F53F1.10, srd-18","unk",3,0.5,0,0
"Gene:WBGene00005097","F53F1.11, srd-19","unk",0.5,0.5,0,1
"Gene:WBGene00005098","Y38A10A.1, srd-20","unk",2.5,1.5,0,0
"Gene:WBGene00005099","W06G6.3, srd-21","unk",13,10,0,0.5
"Gene:WBGene00005100","F26G5.3, srd-22","unk",0,0,0,0.67
"Gene:WBGene00005101","Y40H7A.5, srd-23","unk",3.43,6.68,0.41,5.08
"Gene:WBGene00005102","W06G6.4, srd-24","unk",3,0.5,1.5,0.12
"Gene:WBGene00005103","F07C4.4, srd-25","unk",1,0,0,1
"Gene:WBGene00005104","T02B5.4, srd-26","unk",0,2.09,0,0
"Gene:WBGene00005105","T26E4.12, srd-27","unk",1,0,0,1
"Gene:WBGene00005106","M01B2.2, srd-28","unk",2,0,0,0
"Gene:WBGene00005107","F07C4.3, srd-29","unk",0,1,0,0.02
"Gene:WBGene00005108","F07C4.5, srd-30","unk",0,0.5,0,0
"Gene:WBGene00005109","F07C4.8, srd-31","unk",0,0.8,1.8,0
"Gene:WBGene00005110","T19H12.5, srd-32","unk",67.74,61.01,1.74,3.88
"Gene:WBGene00005111","T19H12.4, srd-33","unk",0,1.5,0,0.03
"Gene:WBGene00005112","F32G8.1, srd-34","unk",0,0,0,1.5
"Gene:WBGene00005113","R186.2, srd-35","unk",4.05,4.25,4,5.25
"Gene:WBGene00005114","R04D3.6, srd-36","unk",2,4,0,1.11
"Gene:WBGene00005115","R04D3.11, srd-37","unk",248.69,229.74,348.01,445.91
"Gene:WBGene00005116","R04D3.12, srd-38","unk",2,5,2,0
"Gene:WBGene00005117","R04D3.8, srd-39","unk",0,2,0,1.25
"Gene:WBGene00005118","F17A2.12, srd-40","unk",0,1,0.25,0
"Gene:WBGene00005119","F17A2.6, srd-41","unk",1,0,0,0
"Gene:WBGene00005120","R04D3.7, srd-42","unk",151.29,137.56,11.25,16.14
"Gene:WBGene00005121","R04D3.9, srd-43","unk",0.72,2.72,0.16,1.61
"Gene:WBGene00005122","F17A2.8, srd-44","unk",1.5,0,0,1
"Gene:WBGene00005123","F17A2.7, srd-45","unk",0,2,0.07,0
"Gene:WBGene00005124","F17A2.10, srd-46","unk",1,0.6,0,2
"Gene:WBGene00005125","F17A2.11, srd-47","unk",0,0,0,0
"Gene:WBGene00005126","F17A2.9, srd-48","unk",0,0,0,0
"Gene:WBGene00005127","R04B5.8, srd-49","unk",2.5,1,0,0
"Gene:WBGene00005128","F15A2.4, srd-50","WAGO",2.04,1.98,0.54,4.48
"Gene:WBGene00005129","F15A2.3, srd-51","unk",12.5,29.19,4.01,6
"Gene:WBGene00005130","K02A2.4, srd-52","unk",28.33,34.17,2.5,1
"Gene:WBGene00005131","F13G3.2, srd-53","unk",1,2.5,0.5,0.5
"Gene:WBGene00005132","K02A2.7, srd-54","unk",2.25,1.01,0.75,1.25
"Gene:WBGene00005133","K02A2.2, srd-55","unk",0,0,0,1
"Gene:WBGene00005134","E04F6.14, srd-56","unk",0,0,0,0
"Gene:WBGene00005135","E04F6.13, srd-58","unk",0.5,0,0.5,0
"Gene:WBGene00005136","E04F6.1, srd-59","unk",0.5,0.5,0.5,0
"Gene:WBGene00005137","C13B7.3, srd-60","unk",12.16,13.32,4.65,14.57
"Gene:WBGene00005138","C01B4.5, srd-61","unk",4.12,4.68,2.3,3.09
"Gene:WBGene00005139","C01B4.4, srd-62","unk",5.46,5.11,1.22,0.84
"Gene:WBGene00005140","F13A7.2, srd-63","unk",1,3,3.5,0
"Gene:WBGene00005141","Y22D7AR.8, srd-64","unk",6.03,12.73,4.06,9
"Gene:WBGene00005142","C39B5.12, srd-65","unk",3.35,3.47,0.83,1.25
"Gene:WBGene00005143","Y39A3B.4, srd-66","unk",14.37,4.24,6.5,3.31
"Gene:WBGene00005144","C39B5.11, srd-67","unk",6.23,3.08,0.62,1.36
"Gene:WBGene00005145","F09C6.7, srd-68","unk",8.08,10.66,4.77,14.41
"Gene:WBGene00005146","H04J21.2, srd-69","unk",7.86,9.09,8.05,8.4
"Gene:WBGene00005147","F48F5.4, srd-70","WAGO",2802.09,2944.5,17,20.5
"Gene:WBGene00005148","C13B7.4, srd-71","unk",100.45,102.49,4.8,3.81
"Gene:WBGene00005149","B0495.1, sre-1","unk",1,1,0,0
"Gene:WBGene00005150","C41C4.2, sre-2","unk",0,0,1,0
"Gene:WBGene00005153","M02B1.1, srf-3","unk",194.93,217.22,194.28,256.21
"Gene:WBGene00005159","C18F10.4, srg-1","unk",0,0,0,0
"Gene:WBGene00005160","C18F10.5, srg-2","unk",0,0,0,1.5
"Gene:WBGene00005161","C18F10.6, srg-3","unk",0,0,0.25,0
"Gene:WBGene00005162","T12A2.12, srg-4","unk",0.12,0,0.77,0
"Gene:WBGene00005163","T12A2.11, srg-5","unk",0.5,0,0.5,0
"Gene:WBGene00005164","T12A2.13, srg-6","unk",0.5,0.3,0,0.06
"Gene:WBGene00005165","C18F10.8, srg-7","unk",0.5,0,0.17,0
"Gene:WBGene00005166","T12A2.9, srg-8","unk",0,0,0,0
"Gene:WBGene00005167","T12A2.10, srg-9","unk",0.5,0.08,1.25,0
"Gene:WBGene00005168","T04A8.1, srg-10","unk",135.27,130.75,84.08,103.37
"Gene:WBGene00005169","T04A8.2, srg-11","unk",0,0,0.01,0
"Gene:WBGene00005170","T23F11.5, srg-13","unk",0.6,1.2,0,0
"Gene:WBGene00005171","F26B1.6, srg-14","unk",6,3,0,0
"Gene:WBGene00005172","C34C6.1, srg-15","unk",0,1,0,0
"Gene:WBGene00005173","F15A4.4, srg-16","unk",1.04,1,0.06,1.11
"Gene:WBGene00005174","F15A4.7, srg-17","unk",0.12,0.35,0.03,0
"Gene:WBGene00005175","T01B7.2, srg-18","unk",10.53,16.36,0.03,1.09
"Gene:WBGene00005176","Y105C5A.11, srg-19","unk",14.81,3,0,0.81
"Gene:WBGene00005177","ZC204.4, srg-20","unk",4.77,6.38,4.24,7.54
"Gene:WBGene00005178","Y25C1A.9, srg-21","unk",1.26,0.48,4.25,3.2
"Gene:WBGene00005179","Y25C1A.10, srg-22","unk",1.5,0,0,0
